,user,tweet
0,jjason17,"RT @ajaynewsman: #vikrant #IndianNavy
Need a another Vikrant like 45-k tonne carrier: Navy seeks MoD nod. It will be same design and STOBAR…"
1,KiranDhawal11,"RT @_lokeshsharma: A big salute to our @indiannavy personnel and their fearless service to the Nation on #NavyDay. 
Jai Hind 🇮🇳 
#IndianNav…"
2,KamalHaasanTeam,"RT @MirrorNow: Headlines at 4 PM with @radhika1705 

#KamalHaasan #ArvindKejriwal #IndianNavy https://t.co/u0lIRveNtM"
3,SujalRa96564591,"RT @AmritMahotsav: #OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andaman &amp; Nicobar Islan…"
4,Dharm73473662,"RT @AmritMahotsav: #OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andaman &amp; Nicobar Islan…"
5,s10boyal,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
6,Simran30_mki,"RT @NewsIADN: #MARCOS + #SEALS during Exercise Sangam 2022

Elite Special Forces from both navies conducted a wide range of joint activitie…"
7,VidhwansakD,"RT @NewsIADN: #MARCOS + #SEALS during Exercise Sangam 2022

Elite Special Forces from both navies conducted a wide range of joint activitie…"
8,Rameshw47559461,"RT @AmritMahotsav: #OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andaman &amp; Nicobar Islan…"
9,Husnain06056323,"RT @IN_GDD: Contributing to #PuneetSagar Abhiyan for clean, serene &amp; pristine Sea Shores #IndianNavy personnel &amp; families of #Gujarat Naval…"
10,NewsIADN,"#MARCOS + #SEALS during Exercise Sangam 2022

Elite Special Forces from both navies conducted a wide range of joint… https://t.co/M5nIYYyRuY"
11,PplFuture,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
12,rajeevpatel5,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
13,misterzedpk,"RT @IN_WNC: In conducting Exercise Sangam-22, #IndianNavy #MARCOS and @USNavy SEALS sharpened their tactical skills in close quarter battle…"
14,PRO_Vizag,"RT @SpokespersonMoD: Mighty Mormugao, a P15B stealth guided missile destroyer formally inducted into the #IndianNavy. 

One of the most pot…"
15,KrishRa44716979,"RT @AmritMahotsav: #OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andaman &amp; Nicobar Islan…"
16,bhargavbhuva4,"RT @SpokespersonMoD: Mighty Mormugao, a P15B stealth guided missile destroyer formally inducted into the #IndianNavy. 

One of the most pot…"
17,KhursidAhmed11,"RT @IN_NetajiSubhas: As part of #PuneetSagarAbhiyan #IndianNavy personnel of NOIC (WBG)/ INS Netaji Subhas, undertook #Hooghly Riverfront #…"
18,VaidDatta,"RT @Defence_XP: Report: P15B destroyer INS Mormugao commissioned into @IndianNavy today.

#IndianNavy 🇮🇳 https://t.co/21Zx16T2rh"
19,The_SkullKnight,"RT @Defence_United_: P15B Vishakhapatnam-class destroyer #INSMormugao commissioned into Indian Navy today.

#IndianNavy 🇮🇳 https://t.co/nUI…"
20,chaubey_jii_,"RT @BhairavHu1008: #INS #Mormugao a P15B stealth-guided missile destroyer, commissioned into the #IndianNavy in the presence of Defence Min…"
21,DefPROMumbai,"RT @IN_WNC: In conducting Exercise Sangam-22, #IndianNavy #MARCOS and @USNavy SEALS sharpened their tactical skills in close quarter battle…"
22,KULDEEP20214O,"RT @SpokespersonMoD: Mighty Mormugao, a P15B stealth guided missile destroyer formally inducted into the #IndianNavy. 

One of the most pot…"
23,gantarangarao,RT @defencealerts: 🔴2nd P-15B #INSMormugao Stealth guided Missile Destroyer Commissioned into #IndianNavy https://t.co/7jyYep05OH
24,Sohi71525278,"RT @AmritMahotsav: #OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andaman &amp; Nicobar Islan…"
25,Defence_United_,"P15B Vishakhapatnam-class destroyer #INSMormugao commissioned into Indian Navy today.

#IndianNavy 🇮🇳 https://t.co/nUIlrfjBFh"
